collection;numero;nom_excel;titre_resolu;statut;methode;note;extrait;url
Merveilles du monde;1;Grande Pyramide de Gizeh;Pyramide de Khéops;ok;direct;redirection suivie;La pyramide de Khéops, ou grande pyramide de Gizeh, est un monument construit par les Égyptiens de l'Antiquité, formant une pyramide à base carrée. Tombeau présumé du souverain Khéops, elle fut édifiée il y a plus de 4 500 ans, sous la IVe dynastie, au centre du complexe funéraire de Khéops qui se situe à Gizeh en Égypte. C'est la plus grande des pyramides de Gizeh.;https://fr.wikipedia.org/wiki/Pyramide_de_Kh%C3%A9ops
Merveilles du monde;2;Jardins suspendus de Babylone;Jardins suspendus de Babylone;ok;direct;;Les jardins suspendus de Babylone sont un édifice antique, considéré comme une des Sept Merveilles du monde antique. Ils apparaissent dans les écrits de plusieurs auteurs grecs et romains antiques (Diodore de Sicile, Strabon, Philon d'Alexandrie, etc.), qui s'inspirent tous de sources plus anciennes disparues, dont le prêtre babylonien Bérose. C'est à ce dernier que l'on doit l'histoire de la construction de ces jardins par Nabuchodonosor II (605-562 av.;https://fr.wikipedia.org/wiki/Jardins_suspendus_de_Babylone
Merveilles du monde;3;Statue de Zeus a Olympie;Statue chryséléphantine de Zeus à Olympie;verifier;search-overlap;résolution par recherche contextuelle;La statue chryséléphantine de Zeus à Olympie est une œuvre du sculpteur athénien Phidias, réalisée vers 436 av. J.-C. à Olympie. Aujourd'hui disparue, cette statue monumentale de 12,75 mètres de haut (41 pieds) était considérée dans l'Antiquité comme la troisième des Sept Merveilles du monde.;https://fr.wikipedia.org/wiki/Statue_chrys%C3%A9l%C3%A9phantine_de_Zeus_%C3%A0_Olympie
Merveilles du monde;4;Temple d'Artemis a Ephese;Temple d'Artémis à Éphèse;ok;direct;redirection suivie;Le temple d'Artémis à Éphèse ou l'Artemision d'Éphèse (ouest de l'actuelle Turquie) (en grec Ἀρτεμίσιον / Artemísion, en latin Artemisium) est dans l'Antiquité l'un des plus importants sanctuaires d'Artémis, déesse grecque de la chasse et de la nature sauvage. Il était considéré dans l'Antiquité comme la quatrième des Sept Merveilles du monde.;https://fr.wikipedia.org/wiki/Temple_d%27Art%C3%A9mis_%C3%A0_%C3%89ph%C3%A8se
Merveilles du monde;5;Mausolee d'Halicarnasse;Mausolée d'Halicarnasse;ok;search;;Le Mausolée d'Halicarnasse (en grec Μαυσωλεῖον / Mausôleĩon) est le tombeau de Mausole, satrape perse achéménide de Carie (Asie Mineure), mort en 353 av. J.-C.. Il était considéré dans l'Antiquité comme la cinquième des Sept Merveilles du monde antique.;https://fr.wikipedia.org/wiki/Mausol%C3%A9e_d%27Halicarnasse
Merveilles du monde;6;Colosse de Rhodes;Colosse de Rhodes;ok;direct;;"Le colosse de Rhodes est une statue monumentale en bronze de trente-deux mètres de haut du Titan Hélios (le dieu du Soleil de la mythologie grecque), œuvre d'art hellénistique du sculpteur rhodien Charès de Lindos du IIIe siècle av. J.-C. 
Monument d'art entièrement disparu de l'époque hellénistique, le colosse de Rhodes (des îles grecques) est la sixième des sept Merveilles du monde de l'Antiquité.";https://fr.wikipedia.org/wiki/Colosse_de_Rhodes
Merveilles du monde;7;Phare d'Alexandrie;Phare d'Alexandrie;ok;direct;;Le phare d'Alexandrie (du grec ancien ὁ Φάρος τῆς Ἀλεξανδρείας / ho Pháros tễs Alexandreías) était un phare situé à Alexandrie, sur l'île de Pharos, en Égypte. Il était considéré dans l'Antiquité comme la septième des Sept Merveilles du monde. Il a servi de guide aux marins pendant près de dix-sept siècles (du IIIe siècle av.;https://fr.wikipedia.org/wiki/Phare_d%27Alexandrie
Merveilles du monde;8;Grande Muraille de Chine;Grande Muraille;ok;direct;redirection suivie;"La Grande Muraille (chinois simplifié : 长城 ; chinois traditionnel : 長城 ; pinyin : Chángchéng ; Wade : Ch'ang²ch'eng² ; litt. « la longue muraille »), aussi appelé « Les Grandes Murailles » est un ensemble de fortifications militaires chinoises construites, détruites et reconstruites en plusieurs fois et à plusieurs endroits entre le IIIe siècle av. J.-C. et le XVIIe siècle pour marquer et défendre la frontière nord de la Chine.";https://fr.wikipedia.org/wiki/Grande_Muraille
Merveilles du monde;9;Petra;Pétra;verifier;search-hint;résolution par recherche contextuelle;"Pétra (du grec ancien : πέτρα (pétra), « rocher » ; en arabe : الْبَتْرَاء (al-Batrāʔ)) est une cité nabatéenne située au sud de l'actuelle Jordanie. C'est le pôle touristique majeur de ce pays.
Fondée vers la fin du VIIIe siècle av.";https://fr.wikipedia.org/wiki/P%C3%A9tra
Merveilles du monde;10;Christ Redempteur;Statue du Christ Rédempteur;verifier;search-repair;résolution par recherche contextuelle;"Le Christ Rédempteur (en portugais : o Cristo Redentor) est une statue monumentale du Christ, dominant la ville de Rio de Janeiro au Brésil, du haut du mont Corcovado.
Située dans la zone sud, elle est devenue au fil des ans un des emblèmes de la ville reconnus internationalement, au même titre que le Pain de Sucre, la plage de Copacabana ou le carnaval.
Elle a été conçue par l'ingénieur brésilien Heitor da Silva Costa, réalisée par le sculpteur français Paul Landowski et le sculpteur roumain Gh";https://fr.wikipedia.org/wiki/Statue_du_Christ_R%C3%A9dempteur
Merveilles du monde;11;Machu Picchu;Machu Picchu;ok;direct;;"Machu Picchu (prononcé en français : /matʃu pitʃu/ ; en espagnol : /ˈmatʃu ˈpitʃu/ ou /ˈmatʃu ˈpiɣtʃu/ ; en quechua local : Machu Pikchu, /ˈmatʃu ˈpixtʃu/, signifiant litt. « vieille montagne » ou « vieux sommet ») est une ancienne cité inca du XVe siècle au Pérou, perchée sur un promontoire rocheux qui unit les monts Machu Picchu et Huayna Picchu (« le Jeune Pic » en quechua) sur le versant oriental des Andes centrales. Son nom aurait été Pikchu ou Picho.";https://fr.wikipedia.org/wiki/Machu_Picchu
Merveilles du monde;12;Chichen Itza;Chichén Itzá;ok;direct;redirection suivie;Chichén Itzá est une ancienne ville maya située entre Valladolid et Mérida dans la péninsule du Yucatán au Mexique. Chichén Itzá est l’une des plus grandes et des plus influentes colonies mayas de la période classique tardive et terminale (600-1000 apr. J.-C.) et fut probablement, au Xe siècle, le principal centre religieux du Yucatán.;https://fr.wikipedia.org/wiki/Chich%C3%A9n_Itz%C3%A1
Merveilles du monde;13;Colisee de Rome;Colisée;verifier;search-overlap;résolution par recherche contextuelle;"Le Colisée (en italien : Colosseo), à l'origine amphithéâtre Flavien (en latin : Amphitheatrum Flavium), est un amphithéâtre ovoïde situé dans le centre de la ville de Rome, entre l'Esquilin et le Cælius, le plus grand construit dans l'Empire romain. Il est l'une des plus grandes œuvres de l'architecture et de l'ingénierie romaines.
Témoignage monumental de la propagande flavienne, sa construction, juste à l'est du Forum romain, a commencé entre 70 et 72 apr.";https://fr.wikipedia.org/wiki/Colis%C3%A9e
Merveilles du monde;14;Taj Mahal;Taj Mahal;ok;direct;;"Le Taj Mahal (en devanagari ताजमहल, en persan تاج محل, qui signifie « la couronne du palais » — mais ce nom peut aussi être vu comme une corruption de Mumtaz Mahal) est situé à Agra, au bord de la rivière Yamuna, dans l'État de l'Uttar Pradesh, en Inde.
C'est un mausolée de marbre blanc construit par l'empereur moghol musulman Shâh Jahân en mémoire de son épouse Arjumand Bânu Begam, aussi connue sous le nom de Mumtaz Mahal, qui signifie en persan « lumière du palais ».
Celle-ci meurt le 17 juin ";https://fr.wikipedia.org/wiki/Taj_Mahal
Pilotes F1 champions du monde;1;Giuseppe Farina;Giuseppe Farina;ok;direct;;"Emilio Giuseppe Farina, surnommé Nino Farina, né le 30 octobre 1906 à Turin et mort le 30 juin 1966 à Aiguebelle en France, est un pilote automobile italien.
En 1950, au volant d'une Alfa Romeo 158, il remporte le 13 mai à Silverstone la toute première course du championnat du monde des conducteurs de Formule 1, et devient en fin de saison le premier pilote à remporter le titre.";https://fr.wikipedia.org/wiki/Giuseppe_Farina
Pilotes F1 champions du monde;2;Juan Manuel Fangio;Juan Manuel Fangio;ok;direct;;"Juan Manuel Fangio, né le 24 juin 1911 à Balcarce et mort le 17 juillet 1995 à Buenos Aires, est un pilote automobile argentin.
Cinq fois champion du monde de Formule 1 (en 1951, 1954, 1955, 1956 et 1957), il domina la discipline reine du sport automobile dans les années 1950, étant jusqu'à ce jour le seul pilote à être sacré champion du monde dans 4 écuries différentes. Grâce à ses exploits et à son pourcentage unique de victoires par Grand Prix disputé (24 victoires sur 51 Grands Prix, pour un";https://fr.wikipedia.org/wiki/Juan_Manuel_Fangio
Pilotes F1 champions du monde;3;Alberto Ascari;Alberto Ascari;ok;direct;;Alberto Ascari, né le 13 juillet 1918 à Milan, Italie et mort le 26 mai 1955 à Monza, est un pilote de course automobile italien. Il a remporté le championnat du monde de Formule 1 à deux reprises, en 1952 et 1953 avec la  Ferrari 500 avant de se tuer lors d'une séance d'essais privés sur le circuit de Monza, en Italie, quatre jours après avoir été secouru de la noyade, après être tombé dans le port de Monaco au volant de sa Lancia D50.;https://fr.wikipedia.org/wiki/Alberto_Ascari
Pilotes F1 champions du monde;4;Mike Hawthorn;Mike Hawthorn;ok;direct;;Mike Hawthorn, né le 10 avril 1929 à Mexborough, dans le Yorkshire (Angleterre), et mort le 22 janvier 1959 dans un accident de la route à Guildford, est un pilote automobile anglais. Célèbre pour le nœud papillon qu'il arborait en compétition, il est devenu en 1958 au volant d'une Ferrari le premier pilote britannique à remporter un titre de champion du monde de Formule 1. Il est également connu pour son implication controversée dans le drame des 24 Heures du Mans 1955, course qu'il remporte su;https://fr.wikipedia.org/wiki/Mike_Hawthorn
Pilotes F1 champions du monde;5;Jack Brabham;Jack Brabham;ok;direct;;"Jack Brabham, né le 2 avril 1926 à Hurstville, en Nouvelle-Galles du Sud, près de Sydney, en Australie et mort le 19 mai 2014 à Gold Coast, dans le Queensland, en Australie, est un pilote automobile australien qui a remporté le titre de champion du monde de Formule 1 à trois reprises, en 1959, 1960 et 1966. Il est le cofondateur de l'écurie Brabham Racing Organisation, qui fabrique des monoplaces de Formule 1 portant son nom.
Brabham, ancien ingénieur de vol de la Royal Australian Air Force, dir";https://fr.wikipedia.org/wiki/Jack_Brabham
Pilotes F1 champions du monde;6;Phil Hill;Phil Hill;ok;direct;;Phil Hill, né le 20 avril 1927 à Miami en Floride, mort le 28 août 2008 à Salinas en Californie, est un pilote automobile américain. En 1961, il est devenu le premier pilote américain sacré champion du monde de Formule 1. Il a également remporté à trois reprises les 24 Heures du Mans (1958, 1961 et 1962).;https://fr.wikipedia.org/wiki/Phil_Hill
Pilotes F1 champions du monde;7;Graham Hill;Graham Hill;ok;direct;;"Graham Hill, né le 15 février 1929 à Hampstead (Borough londonien de Camden à Londres) et mort le 29 novembre 1975 à Arkley dans un accident d'avion, est un pilote automobile britannique.
Figure emblématique de la Formule 1 des années 1960, il a disputé 176 Grands Prix, remporté quatorze victoires et deux titres de champion du monde des pilotes, en 1962 et 1968. Également victorieux d'épreuves aussi prestigieuses que les 500 miles d'Indianapolis (en 1966) et les 24 Heures du Mans (en 1972 sur Ma";https://fr.wikipedia.org/wiki/Graham_Hill
Pilotes F1 champions du monde;8;Jim Clark;Jim Clark;ok;direct;;"James Clark, Jr dit Jim Clark, né le 4 mars 1936, à Kilmany, Fife en Écosse et mort le 7 avril 1968 lors d'une course de Formule 2 sur le circuit d'Hockenheim en Allemagne de l'Ouest, est un pilote automobile britannique dont la brève carrière dans les années 1960 a marqué l'histoire du sport automobile.
Jim Clark, certainement l'un des plus grands pilotes de l'histoire de la Formule 1, construisit en quelques années un palmarès important. Signant 25 victoires (ce qui fait de lui au moment de sa";https://fr.wikipedia.org/wiki/Jim_Clark
Pilotes F1 champions du monde;9;John Surtees;John Surtees;ok;direct;;"John Surtees est un ancien pilote motocycliste et automobile britannique, né le 11 février 1934 à Tatsfield dans le comté de Surrey en Angleterre et mort le 10 mars 2017 à Londres à l'âge de 83 ans.
Après avoir remporté sept titres de champion du monde de vitesse moto, il passe en Formule 1 et gagne le titre mondial en 1964. John Surtees reste le seul pilote champion du monde de moto et de Formule 1.";https://fr.wikipedia.org/wiki/John_Surtees
